"List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"1-7030265                CHAITANYA INSTITUTE OF COMPUTER SCIENCES                               Andhra Pradesh   EAST GODAVARI       KAKINADA"
"1-6423781                PROFESSIONAL GROUP OF INSTITUTIONS                                     Tamil Nadu       TIRUPPUR            KUPPUSAMY NAIDU PURAM, PALLADAM TALUK"
"                                            List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                                STATE                  DISTRICT             CITY"
"1-18501123               SPM'S COLLEGE OF PHARMACY, MALEWADI, SANGOLA ROAD AKLUJ.                      Maharashtra            SOLAPUR              AKLUJ"
"1-434712951              BHAVANI POLYTECHNIC COLLEGE                                                   Tamil Nadu             ERODE                BHAVANI"
"1-479388911              RAJAJI INSTITUTE OF TECHNOLOGY                                                Tamil Nadu             SALEM                SALEM"
"1-3641071                KUMARAGURU COLLEGE OF TECHNOLOGY                                              Tamil Nadu             COIMBATORE           COIMBATORE"
"1-8932081                KARPAGAM INSTITUTE OF TECHNOLOGY                                              Tamil Nadu             COIMBATORE           MADUKKARAI"
"1-441418921              THE CHRISTIAN INSTITUTE FOR TECHNICAL EDUCATION (POLYTECHNIC COLLEGE)         Tamil Nadu             DINDIGUL             ODDANCHATRAM"
"1-788052211              PAD. DR. D. Y. PATIL INSTITUTE OF ENGINEERING, MANAGEMENT & RESEARCH          Maharashtra            PUNE                  PUNE"
"1-7158603                M.A.R. COLLEGE OF ENGINEERING AND TECHNOLOLGY                                 Tamil Nadu             PUDUKKOTTAI          VIRALIMALAI"
"1-403200961              DR.VARSHA PATIL INSTITUTE OF TECHNOLOGY                                       Maharashtra            JALGAON              JALGAON"
"1-431033065              370 PALLAVAN POLYTECHNIC COLLEGE                                              Tamil Nadu             KANCHIPURAM          KANCHIPURAM"
"1-3289821                SSR INSTITUTE OF MANAGEMENT & RESEARCH                                        Dadra and Nagar Haveli DADRA AND NAGAR HAVELI"
"SILVASSA"
"1-7449581                SVKM'S DR. BHANUBEN NANAVATI COLLEGE OF PHARMACY                              Maharashtra            MUMBAI SUBURBAN      MUMBAI"
"1-1630347                SARASWATI COLLEGE OF ENGINEERING, KHARGHAR, NAVI-MUMBAI                       Maharashtra            RAIGAD               NAVI-MUMBAI"
"1-31264821               YASHWANTRAO MOHITE INSTITUTE OF MANAGEMENT (MCA PROGRAMME) KARAD              Maharashtra            SATARA               KARAD"
"1-11578165               COLLEGE OF MANAGEMENT AND COMPUTER SCIENCE, DEPARTMENT OF MANAGEMENT, YAVATMAL."
"Maharashtra            YAVATMAL             YAVATMAL"
"1-456316141              COLLEGE OF ENGINEERING & TECHNOLOGY, NORTH MAHARASHTRA KNOWLEDGE CITY, JALGAONMaharashtra            JALGAON              BAMBHORI"
"1-462834281              G. H. RAISONI POLYTECHNIC                                                     Maharashtra            NAGPUR               NAGPUR"
"1-3103341                VIDYA PRATISHTHANS INSTITUTE OF INFORMATION TECHNOLOGY                        Maharashtra            PUNE                 BARAMATI"
"1-492853671              GOVERNMENT POLYTECHNIC,BRAMHAPURI                                             Maharashtra            CHANDRAPUR           BRAMHAPURI"
"1-448372581              SWAMI VIVEKANAND SANTHA INSTITUTE OF PHARMACY                                 Maharashtra            NASHIK               MALEGAON"
"1-6240581                SINHGAD INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY                   Maharashtra            PUNE                 LONAVALA"
"1-14782151               DR. ASHOK GUJAR TECHNICAL INSTITUTE'S DR. DAULATRAO AHER COLLEGE OF ENGINEERING"
"Maharashtra            SATARA               KARAD"
"1-10497141               NETAJI SUBHASH ENGINEERING COLLEGE                                            West Bengal            KOLKATA              KOLKATA"
"1-463771133              LAL BAHADUR SHASTRI POLYTACHNIC INSTITUTE, TONDAR                             Maharashtra            LATUR                UDGIR"
"1-5433851                SINHGAD BUSINESS SCHOOL                                                       Maharashtra            PUNE                 PUNE"
"1-6154233                SMT. RADHIKATAI PANDAV COLLEGE OF ENGINEERING,                                Maharashtra            NAGPUR               NAGPUR"
"1-6092911                SHARADCHANDRA PAWAR COLLEGE OF ENGINEERING                                    Maharashtra            PUNE                 OTUR"
"1-4830701                NAGPUR INSTITUTE OF TECHNOLOGY                                                Maharashtra            NAGPUR               NAGPUR"
"1-475182883              BAJAJ CHANDRAPUR POLYTECHNIC CHANDRAPUR                                       Maharashtra            CHANDRAPUR           CHANDRAPUR"
"1-6545176                DHAMANGAON EDUCATION SOCIETY'S COLLEGE OF ENGINEERING & TECHNOLOGY            Maharashtra            AMRAVATI             DHAMANGAON RLY"
"1-405661531              SANJIVANI K.B.P.POLYTECHNIC,KOPARGAON                                         Maharashtra            AHMEDNAGAR           KOPARGAON"
"1-15514691               K.C. COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES AND RESEARCH               Maharashtra            THANE                THANE"
"1-2522098071             LATE.BHAGIRATHI YASHWANTRAO PATHRIKAR COLLEGE OF D.PHARMACY                   Maharashtra            AURANGABAD           PHULAMBRI"
"1-433799481              HI-TECH POLYTECHNIC                                                           Maharashtra            AURANGABAD           AURANGABAD"
"1-1345983571             D.B.GROUP OF INSTITUTIONS, SCHOOL OF TECHNOLOGY                               Maharashtra            LATUR                LATUR"
"1-3290049                HI-TECH INSTITUTE OF TECHNOLOGY                                               Maharashtra            AURANGABAD           AURANGABAD"
"1-714167571              SHRI SOMESHWAR SHIKSHAN PRASARAK MANDALS, SOMESHWAR ENGINEERING COLLEGE Maharashtra                  PUNE                 SOMESHWARNAGAR"
"1-2064662531             DR. BABASAHEB AMBEDKAR INSTITUTE OF D- PHARM,SEWAGRAM                         Maharashtra            WARDHA               SEWAGRAM"
"1-4429884                BACKWARD CLASS YOUTH RELIEF COMMITTEE'S UMRER COLLEGE OF ENGINEERING          Maharashtra            NAGPUR               UMRED"
"1-447932981              DHABALESWAR INSTITUTE OF POLYTECHNIC                                          Odisha                 CUTTACK              ATHGARH"
"1-32347208               COLLEGE OF ENGINEERING AND TECHNOLOGY                                         Odisha                 KHORDHA              BHUBANESWAR"
"1-2077902601             JAIN INSTITUTE OF MANAGEMENT & ENTREPRENEURSHIP                               Jharkhand              SERAIKELA-KHARSAWAN GAMHARIA"
"1-475286551              KEONJHAR SCHOOL OF ENGINEERING, KEONJHAR                                      Odisha                 KENDUJHAR (KEONJHAR) VILLAGE"
"1-15638101               SRI SARADA COLLEGE OF PHARMACY                                                Telangana              NALGONDA             BHONGIR"
"1-5119231                BIRBHUM INSTITUTE OF ENGINEERING & TECHNOLOGY                                 West Bengal            BIRBHUM              SURI"
"                                            List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                                STATE                DISTRICT            CITY"
"1-8834414                CAMELLIA SCHOOL OF BUSINESS MANAGEMENT                                        West Bengal          NORTH 24 PARGANAS   KOLKATA"
"1-412675211              KALAIVANAR NSK POLYTECHNIC COLLEGE                                            Tamil Nadu           KANYAKUMARI         NAGERCOIL"
"1-5543891                NOVA COLLEGE OF ENGINEERING & TECHNOLOGY                                      Andhra Pradesh       WEST GODAVARI       JANGAREDDYGUDEM"
"1-6038961                SHRI SHIRDI SAI INSTITUTE OF SCIENCE AND ENGINEERING                          Andhra Pradesh       ANANTAPUR           ANANTAPUR"
"1-16461651               BUCHEPALLI VENKAYAMMA SUBBAREDDY ENGINEERING COLLEGE                          Andhra Pradesh       PRAKASAM            CHIMAKURTHY"
"1-16740411               BHASKARA INSTITUTE OF TECHNOLOGY AND SCIENCE                                  Andhra Pradesh       SRIKAKULAM          SRIKAKULAM"
"1-8300461                ARKAY COLLEGE OF ENGINEERING & TECHNOLOGY                                     Telangana            NIZAMABAD           NIZAMABAD"
"1-4543611                K.S.R.M. COLLEGE OF ENGINEERING                                               Andhra Pradesh       YSR DISTRICT        KADAPA"
"1-8192881                INTEGRAL INSTITUTE OF ADVANCED MANAGEMENT (IIAM)                              Andhra Pradesh       VISHAKHAPATNAM      VISAKHAPATNAM"
"1-10954713               AURORA S PG COLLEGE (MBA)                                                     Telangana            RANGAREDDI          QUTHUBULLAPUR"
"1-436301211              SRI YVS & SRI BRM POLYTECHNIC                                                 Andhra Pradesh       EAST GODAVARI       MUKTESWARAM"
"1-10046661               PRATHAP NARENDER REDDY COLLEGE OF PHARMACY                                    Telangana            RANGAREDDI          HYDERABAD"
"1-8328101                RKLK PG COLLEGE                                                               Telangana            NALGONDA            SURYAPET"
"1-4190371                SARANATHAN COLLEGE OF ENGINEERING                                             Tamil Nadu           TIRUCHIRAPPALLI     TIRUCHIRAPALLI"
"1-446151383              SREE KUMARAGURU POLYTECHNIC COLLEGE                                           Tamil Nadu           DHARMAPURI          HARUR"
"1-18911704               SRI BHARATHI ENGINEERING COLLEGE FOR WOMEN                                    Tamil Nadu           PUDUKKOTTAI         PUDUKKOTTAI"
"1-4197831                WALCHAND COLLEGE OF ENGINEERING                                               Maharashtra          SANGLI              SANGLI"
"1-458309533              PADALESUWARAR POLYTECHNIC COLLEGE                                             Tamil Nadu           CUDDALORE           CUDDALORE"
"1-492953871              ARULMIGU KALLALAKAR POLYTECHNIC COLLEGE                                       Tamil Nadu           MADURAI             MELUR"
"1-445053081              GURU RAAGAVINDRA POLYTECHNIC COLLEGE                                          Tamil Nadu           VELLORE             GUDIYATTAM"
"1-511312441              KAI PUJYA TRIMBAKAPPA BASAVANTAPPA GIRWALKAR POLYTECHNIC                      Maharashtra          BEED                AMBAJOGAI"
"1-3761141                ITM COLLEGE OF ENGINEERING, NAGPUR                                            Maharashtra          NAGPUR              GHORPAD"
"1-464944731              DR. RAJESH RAMDASJI KAMBE POLYTECHNIC COLLEGE, TURKHED, MURTIZAPUR, DIST- AKOLA"
"Maharashtra          AKOLA               MURTIZAPUR"
"1-5012373                VISHWAKARMA INSTITUTE OF MANAGEMENT                                           Maharashtra          PUNE                PUNE"
"1-425603821              ZEAL POLYTECHNIC                                                              Maharashtra          PUNE                NARHE"
"1-15112467               MARATHWADA MITRA MANDAL'S COLLEGE OF ARCHITECTURE                             Maharashtra          PUNE                PUNE"
"1-4657681                ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S, COLLEGE OF HOTEL MANAGEMENT & CATERING"
"Maharashtra"
"TECHNOLOGY       PUNE                PUNE"
"1-441900451              SHRI SACHHIDANAND SHIKSHAN SANSTHA'S SACHHIDANAND INSTITUTE OF DIPLOMA IN PHARMACY,"
"Maharashtra"
"KORADI     NAGPUR              KORADI"
"1-10566087               RAJA SHREE SHIVRAYA PRATISHTHAN'S INSTITUTE OF MANAGEMENT AND COMPUTER STUDIESMaharashtra          PUNE                PUNE"
"1-4710961                ROHIDAS PATIL INSTITUTE OF MANAGEMENT STUDIES                                 Maharashtra          THANE               BHAYANDAR EAST"
"1-502653541              GOVERNMENT POLYTECHNIC, PEN                                                   Maharashtra          RAIGAD              PEN"
"1-497619091              INDO GERMAN TOOL ROOM                                                         Maharashtra          AURANGABAD          AURANGABAD"
"1-419653461              SHELLINO EDUCATION SOCIETY'S ARUNAMAI COLLEGE OF PHARMACY                     Maharashtra          JALGAON             JALGAON"
"1-728166611              MANAV SCHOOL OF ENGINEERING AND TECHNOLOGY                                    Maharashtra          AKOLA               BALAPUR"
"1-20414374               BHARATI VIDYAPEETH DEEMED UNIVERSITY INSTITUTE OF MANAGEMENT AND RURAL DEVELOPMENT"
"MaharashtraADMINISTRATION"
"SANGLI              SANGLI"
"1-745374491              SAMARTH INSTITUTE OF PHARMACY                                                 Maharashtra          DHULE               SAKRI"
"1-425988481              MAHARASHTRA SHIKSHAN VIKAS MANDAL LOKNETE GOPALRAOJI GULWE POLYTECHNIC Maharashtra                 NASHIK              VILHOLI,NASHIK"
"1-6595181                SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY                                 Maharashtra          NAGPUR              NAGPUR"
"1-4488117                YADAVRAO TASGAONKAR SCHOOLOF BUSINESS MANAGEMENT                              Maharashtra          RAIGAD              KARJAT"
"1-5871331                SHARADCHANDRA PAWAR COLLEGE PHARMACY                                          Maharashtra          PUNE                OTUR"
"1-480703211              GUARDIAN ANGEL INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY          Goa                  SOUTH GOA           CURCHOREM"
"1-499418051              GOVERNMENT POLYTECHNIC NAGPUR                                                 Maharashtra          NAGPUR              NAGPUR"
"1-508618511              NEW SATARA COLLEGE OF ENGINEERING & MANAGEMENT                                Maharashtra          SOLAPUR             KORTI"
"1-437384411              BHIWSAN PATIL SHINDE SHIKSHAN GRAMIN VIKAS & BAHU. SANSTHA,SHINDE POLYTECHNIC,Maharashtra          BULDHANA            ANJANI(BK)"
"1-440016961              GURUNANAK TECHNICAL INSTITUTE (DIPLOMA IN PHARMACY)                           Maharashtra          NAGPUR              NAGPUR"
"                                           List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                    STATE            DISTRICT            CITY"
"1-10306294               SYMBIOSIS INSTITUTE OF TECHNOLOGY                                 Maharashtra      PUNE                PUNE"
"1-463298351              SATYA SAI SCHOOL OF ENGINEERING (DIPLOMA)                         Odisha           BALASORE            BALASORE"
"1-465629101              ASHOKRAO MANE INSTITUTE OF DIPLOMA IN PHARMACY                    Maharashtra      KOLHAPUR            PETH VADGAON"
"1-1512770921             GOVERNMENT POLYTECHNIC                                            Odisha           NABARANGPUR         NABARANGPUR"
"1-1513138521             GOVERNMENT POLYTECHNIC SAMBALPUR                                  Odisha           SAMBALPUR           RENGALI"
"1-5099471                SAMARTH GROUP OF INSTITUTIONS                                     Maharashtra      PUNE                BELHE"
"1-475680441              JALPAIGURI POLYTECHNIC INSTITUTE                                  West Bengal      JALPAIGURI          JALPAIGURI"
"1-7414931                MODERN ENGINEERING & MANAGEMENT STUDIES                           Odisha           BALASORE            BALASORE"
"1-458637481              SSB REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY (POLYTECHNIC)      Odisha           MAYURBHANJ          CHITRADA"
"1-5750211                BENGAL COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN            West Bengal      BARDHAMAN           DURGAPUR"
"1-43360881               CALCUTTA BUSINESS SCHOOL                                          West Bengal      SOUTH 24 PARGANAS   BISHNUPUR"
"1-474220803              ADVANCED TECHNICAL TRAINING CENTRE                                Sikkim           EAST SIKKIM         SINGTAM"
"1-3643041                ANANTHA LAKSHMI INSTITUTE OF TECHNOLOGY & SCIENCES                Andhra Pradesh   ANANTAPUR           ANANTAPUR"
"1-6753251                R.B.V.R.R WOMENS COLLEGE                                          Telangana        HYDERABAD           HYDERABAD"
"1-6420081                KLR PHARMACY COLLEGE                                              Telangana        KHAMMAM             PALONCHA"
"1-798852341              BHARAT ENGINEERING COLEGE                                         Telangana        RANGAREDDI          MANGALPALLY"
"1-13503171               AVANTHI DEGREE & PG COLLEGE                                       Telangana        HYDERABAD           HYDERABAD"
"1-5871703                KANDULA OBULA REDDY MEMORIAL COLLEGE OF ENGINEERING               Andhra Pradesh   YSR DISTRICT        KADAPA"
"1-4806461                KVSR SIDDHARTHA COLLEGE OF PHARMACEUTICAL SCIENCES                Andhra Pradesh   KRISHNA             VIJAYAWADA"
"1-2596861                MALLA REDDY COLLEGE OF ENGINEERING                                Telangana        RANGAREDDI          SECUNDERABAD"
"1-12534421               AURORA'S RESEARCH & TECHNOLOGICAL INSTITUTE                       Telangana        WARANGAL            WARANGAL"
"1-462239141              HINDU COLLEGE OF ENGINEERING AND TECHNOLOGY                       Andhra Pradesh   GUNTUR              GUNTUR"
"1-6113531                VIVEKANANDA INSTITUTE OF SCIENCE & INFORMATION TECHNOLOGY         Telangana        MAHABUBNAGAR        SHADNAGAR"
"1-4821331                FRANCIS XAVIER ENGINEERING COLLEGE                                Tamil Nadu       TIRUNELVELI         TIRUNELVELI"
"1-5127303                SRI RAMANA MAHARISHI COLLEGE OF ENGINEERING                       Tamil Nadu       TIRUVANNAMALAI      CHEYYAR"
"1-14171561               K K COLLEGE OF PHARMACY                                           Tamil Nadu       CHENNAI             CHENNAI"
"1-455832283              AAROORAN POLYTECHNIC COLLEGE                                      Tamil Nadu       THIRUVARUR          VILLAGE"
"1-5978774                INFO INSTITUTE OF ENGINEERING                                     Tamil Nadu       COIMBATORE          COIMBATORE"
"1-462883441              K E T POLYTECHNIC COLLEGE                                         Tamil Nadu       KRISHNAGIRI         KRISHNAGIRI"
"1-431834421              JEYA POLYTECHNIC COLLEGE                                          Tamil Nadu       THOOTHUKUDI         THOOTHUKUDI"
"1-737388281              MANAV SCHOOL OF POLYTECHNIC                                       Maharashtra      AKOLA               AKOLA"
"1-463276851              NANASAHEB MAHADIK COLLEGE OF ENGINEERING                          Maharashtra      SANGLI              PETHNAKA"
"1-4917161                K J COLLEGE OF ENGINEERING & MANAGEMENT RESEARCH                  Maharashtra      PUNE                PUNE"
"1-21641511               SADHU VASWANI INSTITUTE OF MANAGEMENT STUDIES FOR GIRLS           Maharashtra      PUNE                PUNE"
"1-429487061              SANJAY EDUCATION SOCIETY'S POLYTECHNIC                            Maharashtra      DHULE               DHULE"
"1-441945611              B.H.S.S.TRUST'S POLYTECHNIC                                       Maharashtra      NASHIK              MALEGAON"
"1-3960951                SAHYADRI COLLEGE OF PHARMACY, METHWADE                            Maharashtra      SOLAPUR             SOLAPUR"
"1-464318451              SAHYADRI INSTITUTE OF MANAGEMENT & RESERCH, SAWARDE               Maharashtra      RATNAGIRI           SAWARDE"
"1-7718584                VISHWABHARATI ACADEMY'S COLLEGE OF ENGINEERING, AHMEDNAGAR        Maharashtra      AHMEDNAGAR          AHMEDNAGAR"
"1-4077114                SINHGAD INSTITUTE OF MANAGEMENT AND COMPUTER APPLICATION          Maharashtra      PUNE                NARHE"
"1-508835181              GOVERNMENT POYTECHNIC, THANE                                      Maharashtra      THANE               THANE"
"1-4277321                D. Y. PATIL INSTITUTE OF ENGINEERING AND TECHNOLOGY               Maharashtra      PUNE                PUNE"
"1-5373023                KASEGAON EDUCATION SOCIETYS RAJARAMBAPU INSTITUTE OF TECHNOLOGY   Maharashtra      SANGLI              ISLAMPUR"
"1-16429411               KOHINOOR BUSINESS SCHOOL                                          Maharashtra      MUMBAI CITY         MUMBAI"
"1-434101571              RASIKLAL M. DHARIWAL COLLEGE OF PHARMACY                          Maharashtra      PUNE                PUNE"
"                                           List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                           STATE            DISTRICT               CITY"
"1-452963869              GOURIHAR POLYTECHNIC LIMB,SATARA.                                        Maharashtra      SATARA                 SATARA"
"1-522899491              SOMAYYA DIPLOMA IN ENGINEERING                                           Maharashtra      CHANDRAPUR             CHANDRAPUR"
"1-437279971              S. D. PATIL INSTITUTE OF PHARMACY, URUN-ISLAMPUR                         Maharashtra      SANGLI                 URUN-ISLAMPUR"
"1-2068719831             WOMENS COLLEGE OF PHARMACY                                               Maharashtra      KOLHAPUR               PETH VADGAON"
"1-2100894291             PRATIBHATAI PAWAR COLLEGE OF PHARMACY                                    Maharashtra      AHMEDNAGAR             SHRIRAMPUR"
"1-5568181                SINHGAD INSTITUTE OF BUSINESS ADMINISTRATION & COMPUTER APPLICATION      Maharashtra      PUNE                   LONAVALA"
"1-457406501              SANT GAJANAN MAHARAJ RURAL PHARMACY COLLEGE                              Maharashtra      KOLHAPUR               GADHINGLAJ"
"1-2625316                SHAH AND ANCHOR KUTCHHI ENGINEERING COLLEGE                              Maharashtra      MUMBAI CITY            MUMBAI"
"1-2498827120             SWAMI INSTITUTE OF PHARMACY                                              Maharashtra      NASHIK                 KALWAN"
"1-23703261               N.L.DALMIA INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH                  Maharashtra      MUMBAI CITY            THANE"
"1-5815121                THE TECHNO SCHOOL                                                        Odisha           KHORDHA                BHUBANESWAR"
"1-6762411                NATIONAL INSURANCE ACADEMY                                               Maharashtra      PUNE                   PUNE"
"1-11741041               TMV INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY                  Maharashtra      PUNE                   PUNE"
"1-14318331               SHRI BALASAHEB TIRPUDE COLLEGE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY"
"Maharashtra      NAGPUR                 NAGPUR"
"1-2481059741             WARPUDKAR INSTITUTE OF PHARMACY (D.PHARMACY)                             Maharashtra      PARBHANI               PARBHANI"
"1-6066341                BHARATI VIDYAPEETH'S COLLEGE OF PHARMACY                                 Maharashtra      THANE                  NAVI MUMBAI"
"1-4513041                SEEMANTA INSTITUTE OF PHARMACEUTICAL SCIENCES                            Odisha           MAYURBHANJ             BARIPADA"
"1-466196671              B I T SINDRI                                                             Jharkhand        DHANBAD                SINDRI"
"1-449823963              GLOBAL INSTITUTE OF SCIENCE & TECHNOLOGY                                 West Bengal      PURBA MEDINIPUR        HALDIA"
"1-1529568061             GOVERNMENT POLYTECHNIC, SUBARNAPUR                                       Odisha           SUBARNAPUR (SONEPUR)   VILLAGE"
"1-505932461              MAHALAXMI INSTITUTE OF TECHNOLOGY & ENGINEERING                          Odisha           BALASORE               BALASORE"
"1-8421826                INSTITUTE OF SCIENCE AND TECHNOLOGY                                      West Bengal      PASCHIM MEDINIPUR      PASCHIME MADNIPUR"
"1-4532306                NIMRA INSTITUTE OF SCIENCE & TECHNOLOGY                                  Andhra Pradesh   KRISHNA                VIJAYAWADA"
"1-14640945               PADMANAVA COLLEGE OF ENGINEERING                                         Odisha           SUNDERGARH             ROURKELA"
"1-3639013                CENTRE FOR MANAGEMENT & TECHNOLOGY (CMT)                                 Andhra Pradesh   VISHAKHAPATNAM         VISAKHAPATNAM"
"1-12407071               VIKAS INSTITUTE OF PHARMACEUTICAL SCIENCES                               Andhra Pradesh   EAST GODAVARI          RAJAHMUNDY"
"1-4167936                VIKAS COLLEGE OF PHARMACY                                                Andhra Pradesh   KRISHNA                VISSANNAPETA"
"1-6127201                NALLA NARASIMHA REDDY EDUCATION SOCIETY'S GROUP OF INSTITUTIONS          Telangana        RANGAREDDI             HYDERABAD"
"1-1450050351             SRI JYOTHI POLYTECHNIC                                                   Andhra Pradesh   KRISHNA                KALAVAPAMULA"
